监管文件编号,主题,文件名,发文字号,状态,说明
RFN-T5-070,T5资金运用与资产负债管理,中国人民银行公开市场业务公告〔2024〕第6号—关于接受符合条件的证券、基金、保险公司申报的公告,中国人民银行公开市场业务公告（〔2024〕第6号）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T5-073,T5资金运用与资产负债管理,保险公司投资管理能力信息披露自律管理准则(试行),44720,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T5-077,T5资金运用与资产负债管理,保险资金运用信息披露准则,,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T6-038,T6养老与健康保险专项,关于保险公司开展个人养老金业务有关工作提示,,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T7-007,T7风险处置与反洗钱合规,中国人民银行关于印发《保险业大额交易和可疑交易报告要素释义》和《保险业大额交易和可疑交易报告数据报送接口规范[试行]》的通知,银发[2007]34号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T7-011,T7风险处置与反洗钱合规,中国人民银行关于印发银行业、证券期货业、保险业大额交易和可疑交易报告数据报送接口规范的通知,银发[2008]248号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T7-013,T7风险处置与反洗钱合规,中国人民银行关于进一步严格大额交易和可疑交易报告报送情况的通报,银发[2009]123号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T7-014,T7风险处置与反洗钱合规,中国人民银行办公厅关于进一步加强银行卡业务反洗钱工作的通知,银办发[2009]151号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T7-020,T7风险处置与反洗钱合规,中国人民银行关于明确可疑交易报告制度有关执行问题的通知,银发[2010]48号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T7-032,T7风险处置与反洗钱合规,中国人民银行办公厅关于进一步加强金融机构和支付机构反恐怖融资工作的通知,银办发[2014]62号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T7-058,T7风险处置与反洗钱合规,行政处罚法、行政许可法、治安管理处罚法,,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T7-061,T7风险处置与反洗钱合规,关于禁止商业贿赂行为的暂行规定,国家工商行政管理局令第60号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T7-062,T7风险处置与反洗钱合规,最高人民法院最高人民检察院关于印发《关于办理商业贿赂刑事案件适用法律若干问题的意见》的通知,二OO八年十一月二十日下发,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T7-063,T7风险处置与反洗钱合规,关于加强联合国安理会制裁决议名单管理和FATF公布的高风险国家或地区客户管理的风险提示,,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T7-064,T7风险处置与反洗钱合规,中华人民共和国反垄断法,N/A,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-T7-065,T7风险处置与反洗钱合规,中华人民共和国反不正当竞争法,N/A,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-T7-066,T7风险处置与反洗钱合规,中华人民共和国刑法,N/A,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-T8-007,T8数据治理与机构准入,转发中国人民银行关于商业银行对外资保险公司办理人民币协议存款业务的利率等相关问题的通知,保监发[2005]23号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T8-020,T8数据治理与机构准入,关于保险公司地市级分支机构命名等有关问题的批复,保监法规[2007]1497号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T8-039,T8数据治理与机构准入,关于印发《中国保险行业协会网站信息管理办法》的通知,中保协发[2009],未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T8-065,T8数据治理与机构准入,保险公司管理规定（2015修订）,中国保险监督管理委员会令2015年第3号,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-T8-070,T8数据治理与机构准入,2019年4月1日，中国保险业首个国家标准《保险术语（GB/T 36687-2018）》正式实施,,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T8-071,T8数据治理与机构准入,保险术语（GB/T 36687-2018）,国家标准（2019-04-01实施）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T8-077,T8数据治理与机构准入,公开发行证券的公司信息披露编报规则第4号——保险公司信息披露特别规定(2024年修订),中国证券监督管理委员会公告（〔2024〕10号）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T8-078,T8数据治理与机构准入,国家金融监督管理总局办公厅关于银行保险机构侵害个人信息权益乱象专项整治发现主要问题的通报,金办发[2024]25号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T8-079,T8数据治理与机构准入,保险业IT服务管理基本规范,JR/T 0074—2024,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
