序号,来源,发文字号,文件名,命中关键词(泛化),命中段落摘录,取舍理由,置信度,建议处理
11,gov,中华人民共和国中央军事委员会令第787号,退役军人安置条例, ,[body]…限依法合并计算。 第八十二条 安排工作的退役军士和义务兵在国家规定的待安排工作期间，按照规定参加安置地职工基本养老保险并享受相应待遇，所需费用由安置地人民政府同级财政资金安排。 第八十三条 安置到机关、群团组织、企业事业单位的退…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
12,gov,中华人民共和国国务院令第783号,公平竞争审查条例,分支机构 ,[body]…，或者阻碍本地经营者迁出，商品、要素输出； (二)排斥、限制、强制或者变相强制外地经营者在本地投资经营或者设立分支机构； (三)排斥、限制或者变相限制外地经营者参加本地政府采购、招标投标； (四)对外地或者进口商品、要素设置歧视…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
13,gov,中华人民共和国国务院令第781号,国有企业管理人员处分条例,分支机构 ,[body]…二)经党组织或者国家机关，国有独资、全资公司、企业，事业单位提名、推荐、任命、批准等，在国有控股、参股公司及其分支机构中履行组织、领导、管理、监督等职责的人员； (三)经国家出资企业中负有管理、监督国有资产职责的组织批准或者研究…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
14,gov,中华人民共和国国务院令第494号,中华人民共和国船员条例, ,[body]…他必要措施。 第四章 船员职业保障 第二十一条 船员用人单位和船员应当按照国家有关规定参加工伤保险、医疗保险、养老保险、失业保险以及其他社会保险，并依法按时足额缴纳各项保险费用。 船员用人单位应当为在驶往或者驶经战区、疫区或者运…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
15,gov,中华人民共和国国务院令第763号,中华人民共和国领事保护与协助条例,保险公司 ,[body]…人员及其他人员进行培训。 第二十四条 国家鼓励有关组织和个人为领事保护与协助工作提供志愿服务。 国家鼓励和支持保险公司、紧急救援机构、律师事务所等社会力量参与领事保护与协助相关工作。 第二十五条 对在领事保护与协助工作中作出突出…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
16,gov,中华人民共和国国务院令第216号,农药管理条例,分支机构 ,[body]…变化的，农药经营者应当按照国务院农业主管部门的规定申请变更农药经营许可证。 取得农药经营许可证的农药经营者设立分支机构的，应当依法申请变更农药经营许可证，并向分支机构所在地县级以上地方人民政府农业主管部门备案，其分支机构免予办理…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
17,gov,中华人民共和国国务院令第447号,中华人民共和国进出口商品检验法实施条例,分支机构 ,[body]…管全国进出口商品检验工作。 海关总署设在省、自治区、直辖市以及进出口商品的口岸、集散地的出入境检验检疫机构及其分支机构(以下简称出入境检验检疫机构)，管理所负责地区的进出口商品检验工作。 第三条 海关总署应当依照商检法第四条规定…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
18,gov,中华人民共和国国务院令第746号,中华人民共和国市场主体登记管理条例,分支机构 ,[body]…指在中华人民共和国境内以营利为目的从事经营活动的下列自然人、法人及非法人组织： (一)公司、非公司企业法人及其分支机构； (二)个人独资企业、合伙企业及其分支机构； (三)农民专业合作社(联合社)及其分支机构； (四)个体工商户…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
19,gov,中华人民共和国国务院令第256号,中华人民共和国土地管理法实施条例, ,[body]…安置补助费分配办法。地上附着物和青苗等的补偿费用，归其所有权人所有。社会保障费用主要用于符合条件的被征地农民的养老保险等社会保险缴费补贴，按照省、自治区、直辖市的规定单独列支。申请征收土地的县级以上地方人民政府应当及时落实土地补…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
20,gov,中华人民共和国国务院令第399号,中华人民共和国民办教育促进法实施条例, ,[body]…额支付工资，足额缴纳社会保险费和住房公积金。国家鼓励民办学校按照有关规定为教职工建立职业年金或者企业年金等补充养老保险。实施学前教育、学历教育的民办学校应当从学费收入中提取一定比例建立专项资金或者基金，由学校管理，用于教职工职业…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
21,gov,中华人民共和国国务院令第735号,医疗保障基金使用监督管理条例,保险资金 ,[body]…附 则第四十九条 职工大额医疗费用补助、公务员医疗补助等医疗保障资金使用的监督管理，参照本条例执行。居民大病保险资金的使用按照国家有关规定执行，医疗保障行政部门应当加强监督。第五十条 本条例自2021年5月1日起施行。 医疗保…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
22,gov,国家工商行政管理局令第7号,企业名称登记管理规定,分支机构 ,[body]…语。 使用外国投资者字号的外商独资或者控股的外商投资企业，企业名称中可以含有“（中国）”字样。 第十三条 企业分支机构名称应当冠以其所从属企业的名称，并缀以“分公司”、“分厂”、“分店”等字词。境外企业分支机构还应当在名称中标明…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
23,gov,中华人民共和国国务院令第439号,营业性演出管理条例,分支机构 ,[body]…构、演出场所经营单位以及由内地方控股的文艺表演团体；香港特别行政区、澳门特别行政区的演出经纪机构可以在内地设立分支机构。 台湾地区的投资者可以在大陆投资设立演出经纪机构、演出场所经营单位，不得设立文艺表演团体。 依照本条规定设立…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
24,gov,,中华人民共和国国家金库条例,分支机构 ,[body]…行行长兼国库主任。 第八条 国库业务工作实行垂直领导。各省、自治区、直辖市分库及其所属各级支库，既是中央国库的分支机构，也是地方国库。 第九条 各级国库应当设立专门的工作机构办理国库业务。机构设置按照本条例第六条规定，四级国库分…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
25,gov,中华人民共和国国务院令第186号,中华人民共和国预算法实施条例,分支机构 ,[body]…留解、退付和库款支拨的专门机构。国库分为中央国库和地方国库。 中央国库业务由中国人民银行经理。未设中国人民银行分支机构的地区，由中国人民银行商财政部后，委托有关银行业金融机构办理。 地方国库业务由中国人民银行分支机构经理。未设中…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
26,gov,中华人民共和国国务院令第725号,农作物病虫害防治条例,保险机构 ,[body]…民政府农业农村主管部门商同级人民政府应急管理部门发布，其他组织和个人不得向社会发布。第二十八条 国家鼓励和支持保险机构开展农作物病虫害防治相关保险业务，鼓励和支持农业生产经营者等有关单位和个人参加保险。第四章 应急处置第二十九条…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
27,gov,中华人民共和国国务院令第649号,社会救助暂行办法, ,[body]…宜。 特困人员供养标准，由省、自治区、直辖市或者设区的市级人民政府确定、公布。 特困人员供养应当与城乡居民基本养老保险、基本医疗保障、最低生活保障、孤儿基本生活保障等制度相衔接。 第十六条 申请特困人员供养，由本人向户籍所在地的…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
28,gov,中华人民共和国国务院令第142号,中华人民共和国个人所得税法实施条例, ,[body]…条第一款第一项所称依法确定的其他扣除，包括个人缴付符合国家规定的企业年金、职业年金，个人购买符合国家规定的商业健康保险、税收递延型商业养老保险的支出，以及国务院规定可以扣除的其他项目。 专项扣除、专项附加扣除和依法确定的其他扣除…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
29,gov,中华人民共和国国务院令第700号,人力资源市场暂行条例,分支机构 ,[body]…颁发人力资源服务许可证；不符合条件的，作出不予批准的书面决定并说明理由。 第二十条 经营性人力资源服务机构设立分支机构的，应当自工商登记办理完毕之日起15日内，书面报告分支机构所在地人力资源社会保障行政部门。 第二十一条 经营性…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
30,gov,中华人民共和国国务院令第405号,中华人民共和国道路交通安全法实施条例,保险公司|保险机构 ,[body]…明和申请材料。公安机关交通管理部门经与机动车登记档案核实后，在收到申请之日起15日内补发。第十二条 税务部门、保险机构可以在公安机关交通管理部门的办公场所集中办理与机动车有关的税费缴纳、保险合同订立等事项。第十三条 机动车号牌应…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
31,gov,中华人民共和国国务院令第683号,融资担保公司监督管理条例,分支机构 ,[body]…公司合并、分立或者减少注册资本，应当经监督管理部门批准。 融资担保公司在住所地所在省、自治区、直辖市范围内设立分支机构，变更名称，变更持有5%以上股权的股东或者变更董事、监事、高级管理人员，应当自分支机构设立之日起或者变更相关事…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
32,gov,中华人民共和国国务院令第443号,直销管理条例,分支机构 ,[body]…行政管理部门依照其职责分工和本条例规定，负责对直销企业和直销员及其直销活动实施监督管理。 第二章 直销企业及其分支机构的设立和变更 第七条 申请成为直销企业，应当具备下列条件： (一)投资者具有良好的商业信誉，在提出申请前连续5…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
33,gov,中华人民共和国国务院令第388号,中央储备粮管理条例,分支机构 ,[body]…量和储存安全等方面的问题，应当及时处理；不能处理的，承储企业的主要负责人必须及时报告中国储备粮管理总公司或者其分支机构。 第二十九条 承储企业应当在轮换计划规定的时间内完成中央储备粮的轮换。 中央储备粮的轮换应当遵循有利于保证中…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
34,gov,中华人民共和国国务院令第291号,中华人民共和国电信条例,分支机构 ,[body]…关标准。主导的电信业务经营者向其他电信业务经营者提供网间互联，服务质量不得低于本网内的同类业务及向其子公司或者分支机构提供的同类业务质量。 第二十二条 网间互联的费用结算与分摊应当执行国家有关规定，不得在规定标准之外加收费用。…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
35,gov,中华人民共和国国务院令第362号,中华人民共和国税收征收管理法实施细则,分支机构 ,[body]…条的规定执行。 第九十五条 税务机关依照税收征管法第五十四条第(五)项的规定，到车站、码头、机场、邮政企业及其分支机构检查纳税人有关情况时，有关单位拒绝的，由税务机关责令改正，可以处1万元以下的罚款；情节严重的，处1万元以上5万…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
36,gov,中华人民共和国国务院令第629号,农业保险条例,保险公司|保险机构|保险条款|偿付能力 ,[meta]…展，根据《中华人民共和国保险法》、《中华人民共和国农业法》等法律，制定本条例。第二条 本条例所称农业保险，是指保险机构根据农业保险合同，对 中华人民共和国国务院    农业保险条例 (2012年11月12日中华人民共和国国务院令…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
37,gov,中华人民共和国国务院令第429号,著作权集体管理条例,分支机构 ,[body]…证书副本以及著作权集体管理组织章程、使用费收取标准、使用费转付办法予以公告。 第十二条 著作权集体管理组织设立分支机构，应当经国务院著作权管理部门批准，并依照有关社会团体登记管理的行政法规到国务院民政部门办理登记手续。经依法登记…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
38,gov,中华人民共和国国务院令第36号,外国商会管理暂行规定,分支机构 ,[body]…团体会员是以商业机构名义加入的会员。商业机构是指外国公司、企业以及其他经济组织依法在中国境内设立的代表机构和分支机构。 个人会员是商业机构和外商投资企业的非中国籍任职人员以本人名义加入的会员。 第六条 外国商会的名称应当冠其本…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
39,gov,,中华人民共和国对外合作开采海洋石油资源条例,分支机构 ,[body]…行政方面的各种报告。 第十五条 外国合同者为执行石油合同从事开发、 生产作业， 应当在中华人民共和国境内设立分支机构或者代表机构， 并依法履行登记手续。 前款机构的住所地应当同中国海洋石油总公司共同商量确定。 第十六条 本条例…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
40,gov,中华人民共和国国务院令第631号,征信业管理条例,分支机构 ,[body]…3年无重大违法违规记录，并取得国务院征信业监督管理部门核准的任职资格。 第九条 经营个人征信业务的征信机构设立分支机构、合并或者分立、变更注册资本、变更出资额占公司资本总额5%以上或者持股占公司股份5%以上的股东的，应当经国务院…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
41,gov,国家外汇管理局令第7号,关于骗购外汇、非法套汇、逃汇、非法买卖外汇等违反外汇管理规定行为的行政处分或者纪律处分暂行规定,分支机构 ,[body]…贸企业的工作人员。本规定所称经批准经营外汇业务的金融机构，是指经批准经营外汇业务的中资银行、非银行金融机构及其分支机构。本规定所称国有外经贸企业，是指国有外贸公司、自营进出口的国有生产企业、有进出口经营权的国有企业和国有资产占控…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
42,gov,中华人民共和国国务院令第59号,中华人民共和国乡村集体所有制企业条例,保险公司 ,[body]…工队伍。第二十九条 企业不得招用未满16周岁的童工。第三十条 企业对从事高度危险作业的职工，必须依照国家规定向保险公司投保。有条件的企业，应当参照国家有关规定实行职工社会保险。第三十一条 企业发生劳动争议，可以依照《中华人民共和…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
43,gov,中华人民共和国国务院令第299号,长江三峡工程建设移民条例, ,[body]…行兼并、破产或者关闭。 有关地方人民政府应当妥善安排破产、关闭企业职工和离退休人员的基本生活，做好再就业和社会养老保险工作。 工矿企业搬迁补偿资金实行包干管理，其数额按照实际淹没损失的重置价格核定。 第二十二条 因三峡工程蓄水被…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
44,gov,中华人民共和国国务院令第303号,国务院关于禁止在市场经济活动中实行地区封锁的规定,分支机构 ,[body]…本地企业、其他经济组织或者个人不平等的待遇等方式，限制或者排斥外地企业、其他经济组织或者个人在本地投资或者设立分支机构，或者对外地企业、其他经济组织或者个人在本地的投资或者设立的分支机构实行歧视性待遇，侵害其合法权益；(八)实行…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
45,gov,中华人民共和国国务院令第121号,企业债券管理条例,分支机构 ,[body]…销和转让业务。 第二十四条 单位和个人所得的企业债券利息收入，按照国家规定纳税。 第二十五条 中国人民银行及其分支机构和国家证券监督管理机构，依照规定的职责，负责对企业债券的发行和交易活动，进行监督检查。 第四章 法律责任 第二…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
46,gov,中华人民共和国国务院令第107号,储蓄管理条例,分支机构 ,[body]…息的活动。 任何单位和个人不得将公款以个人名义转为储蓄存款。 第四条 本条例所称储蓄机构是指经中国人民银行或其分支机构批准，各银行、信用合作社办理储蓄业务的机构，以及邮政企业依法办理储蓄业务的机构。 第五条 国家保护个人合法储蓄…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
47,gov,,票据管理实施办法,分支机构 ,[body]…是指具有代为清偿票据债务能力的法人、其他组织或者个人。 国家机关、以公益为目的的事业单位、社会团体、企业法人的分支机构和职能部门不得为保证人；但是，法律另有规定的除外。 第十三条 银行汇票上的出票人的签章、银行承兑商业汇票的签章…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
48,gov,公安部令第33号,计算机信息网络国际联网安全保护管理办法,分支机构 ,[body]…条 互联单位、接入单位、使用计算机信息网络国际联网的法人和其他组织(包括跨省、自治区、直辖市联网的单位和所属的分支机构)，应当自网络正式联通之日起30日内，到所在地的省、自治区、直辖市人民政府公安机关指定的受理机关办理备案手续。…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
49,gov,中华人民共和国国务院令第375号,工伤保险条例, ,[body]…，均有依照本条例的规定享受工伤保险待遇的权利。 第三条 工伤保险费的征缴按照《社会保险费征缴暂行条例》关于基本养老保险费、基本医疗保险费、失业保险费的征缴规定执行。 第四条 用人单位应当将参加工伤保险的有关情况在本单位内公示。…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
50,gov,中华人民共和国国务院令第231号,中华人民共和国审计法实施条例,分支机构 ,[body]…本级预算执行和其他财政收支管理工作的建议；(五)本级人民政府要求报告的其他情况。第十八条 审计署对中央银行及其分支机构履行职责所发生的各项财务收支，依法进行审计监督。审计署向国务院总理提出的中央预算执行和其他财政收支情况审计结果…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
51,gov,中华人民共和国国务院令第537号,中华人民共和国外国常驻新闻机构和外国记者采访条例,分支机构 ,[body]…息传播，制定本条例。第二条 本条例所称外国常驻新闻机构，是指外国新闻机构在中国境内设立、从事新闻采访报道业务的分支机构。本条例所称外国记者包括外国常驻记者和外国短期采访记者。外国常驻记者是指由外国新闻机构派遣，在中国境内常驻6个…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
52,gov,中华人民共和国国务院令第535号,中华人民共和国劳动合同法实施条例,分支机构 ,[body]…伙组织和基金会，属于劳动合同法规定的用人单位。 第二章 劳动合同的订立 第四条 劳动合同法规定的用人单位设立的分支机构，依法取得营业执照或者登记证书的，可以作为用人单位与劳动者订立劳动合同；未依法取得营业执照或者登记证书的，受用…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
53,gov,中华人民共和国国务院令第193号,中华人民共和国外汇管理条例,分支机构 ,[meta]…则第一条 为了加强外汇管理，促进国际收支平衡，促进国民经济健康发展，制定本条例。第二条 国务院外汇管理部门及其分支机构(以下统称外汇管理机关)依法履行外汇管理职责，负责 中华人民共和国国务院    中华人民共和国外汇管理条例 (…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
54,gov,中华人民共和国国务院令第410号,中华人民共和国归侨侨眷权益保护法实施办法, ,[body]…的，按照国家有关规定办理辞职、解聘、终止劳动关系手续，按照国家有关规定享受一次性离职费及相关待遇，已经参加基本养老保险、基本医疗保险的，由社会保险经办机构按照国家有关规定一次性结清应归属其本人的费用，并终止其基本养老保险、基本医…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
55,gov,中华人民共和国国务院令第400号,基金会管理条例,分支机构 ,[body]…登记的事项包括：名称、住所、类型、宗旨、公益活动的业务范围、原始基金数额和法定代表人。 第十二条 基金会拟设立分支机构、代表机构的，应当向原登记管理机关提出登记申请，并提交拟设机构的名称、住所和负责人等情况的文件。 登记管理机关…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
56,gov,中华人民共和国国务院令第287号,企业财务会计报告条例,保险公司 ,[body]…在资产负债表上，资产应当按照其流动性分类分项列示，包括流动资产、长期投资、固定资产、无形资产及其他资产。银行、保险公司和非银行金融机构的各项资产有特殊性的，按照其性质分类分项列示。(二)负债，是指过去的交易、事项形成的现时义务，…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
57,gov,中华人民共和国国务院令第258号,失业保险条例, ,[body]…并同时停止享受其他失业保险待遇： (一)重新就业的； (二)应征服兵役的； (三)移居境外的； (四)享受基本养老保险待遇的； (五)被判刑收监执行或者被劳动教养的； (六)无正当理由，拒不接受当地人民政府指定的部门或者机构介绍…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(商业银行)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
58,gov,中华人民共和国国务院令第251号,民办非企业单位登记管理暂行条例,分支机构 ,[body]…续，凭有关主管部门出具的执业许可证明文件，发给相应的民办非企业单位登记证书。 第十三条 民办非企业单位不得设立分支机构。 第十四条 民办非企业单位凭登记证书申请刻制印章，开立银行帐户。民办非企业单位应当将印章式样、银行帐号报登记…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
59,gov,,结汇、售汇及付汇管理规定,保险机构 ,[body]…资产的外汇收入；(八)对外索赔收入的外汇、退回的外汇保证金等；(九)出租房地产和其他外汇资产收入的外汇；(十)保险机构受理外汇保险所得外汇收入；(十一)取得《经营外汇业务许可证》的金融机构经营外汇业务的净收入；(十二)国外捐赠、…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
