source,dedup_key,document_number,title,issue_organ,decision,confidence,a_kws,b_kws,c_kws,x_kws,snippet,avail_text_len,has_full_body,in_attr,matched_rfn
gov,27c33e00a8b527e6c1f92f764f1bb0b0ec757c4f422d8fd01ee907efa127eac2,中华人民共和国国务院令第250号,社会团体登记管理条例,中华人民共和国国务院,BOUNDARY,低,,,分支机构,,[body]…记证书》申请刻制印章，开立银行账户。社会团体应当将印章式样和银行账号报登记管理机关备案。 第十七条 社会团体的分支机构、代表机构是社会团体的组成部分，不具有法人资格，应当按照其所属于的社会团体的章程所规定的宗旨和业务范围，在该社…,21103,True,False,
gov,27936d4c02a97d414280e979588894faa1d10dd2448010677f10281913cb18f7,中华人民共和国国务院令第831号,供水条例,中华人民共和国国务院,EXCLUDE,—,,,,,,31357,True,False,
gov,96fe7cb833015852f8284c4224a1236cf9b79ae72125695b4b468f905f7f321c,中华人民共和国国务院令第167号,中华人民共和国自然保护区条例,中华人民共和国国务院,EXCLUDE,—,,,,,,30182,True,False,
gov,ab54e4f3b6d2a08b8fca360ed8efdd04ee13e51725356d613da9e50041536a87,中华人民共和国国务院令第100号,城市绿化条例,中华人民共和国国务院,EXCLUDE,—,,,,,,11975,True,False,
gov,96e6059aa6e0c9f5819b385336e630c154a3fca7d26c6c9645830db47dff7184,中华人民共和国国务院令第53号,中华人民共和国标准化法实施条例,中华人民共和国国务院,EXCLUDE,—,,,,,,20543,True,False,
gov,ffe77ffc72acbaea980380ed59b73ad43083e8c3a75aa84b3ccbb17779684de0,中华人民共和国国务院令第184号,中华人民共和国注册建筑师条例,中华人民共和国国务院,EXCLUDE,—,,,,,,16241,True,False,
gov,735d921940bde850bcdb489247944c3845d1843ecb600ae1184d035e79507642,,植物检疫条例,,EXCLUDE,—,,,,,,12775,True,False,
gov,7455d8f862e74a51526e1cb4138a464fd30adaa82c7e503615a8110969b7b35f,中华人民共和国国务院令第77号,水库大坝安全管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,12814,True,False,
gov,891f0b37fef028fc1147102b16d7e025903274ae1669d89f9ef83a7dd540dc99,中华人民共和国国务院令第46号,森林病虫害防治条例,中华人民共和国国务院,BOUNDARY,低,,,保险公司,,[body]…防治费用的，各级人民政府应当给予补助。 第二十条 国家在重点林区逐步实行森林病虫害保险制度，具体办法由中国人民保险公司会同国务院林业主管部门制定。 第四章 奖励和惩罚 第二十一条 有下列成绩之一的单位和个人，由人民政府或者林业主…,13643,True,False,
gov,d479d6ad59a78a729004b4e7e732bbb88f23424853295b5bf3da5b4b6a3a82bf,中华人民共和国国务院令第3号,中华人民共和国河道管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,21829,True,False,
gov,78529c4d80c5b5c32ee172da8246eedcb9cebd05181837b7ee15f5374833ea0e,中华人民共和国国务院令第406号,中华人民共和国道路运输条例,中华人民共和国国务院,EXCLUDE,—,,,,,,41457,True,False,
gov,dd64d72a3edd6026326fca303fd3f2c5398675849ff9a648702fb0b4c2a6dca0,中华人民共和国国务院令第474号,风景名胜区条例,中华人民共和国国务院,EXCLUDE,—,,,,,,26930,True,False,
gov,c6b1b475354eb536f59fa3b9a4b17114d9864de6b04886d8bf59c90d078f0ba8,中华人民共和国国务院令第360号,中华人民共和国药品管理法实施条例,中华人民共和国国务院,EXCLUDE,—,,,,,,60694,True,False,
gov,d24d9fc73cf7e9ddbefb4d812b32ef7ea1568640efa27c4e5300a1ad31f9dd17,中华人民共和国国务院令第827号,商事调解条例,中华人民共和国国务院,EXCLUDE,—,,,,,,15565,True,False,
gov,4e5fb96789850888cc77beaa824f2ca5e86430e04b4faaa2ed60ec9878f412c9,中华人民共和国国务院令第826号,中华人民共和国增值税法实施条例,中华人民共和国国务院,EXCLUDE,中,,,分支机构,信托公司,[body]…用增值税法第三十条规定的以一个季度为一个计税期间： (一)小规模纳税人； (二)一般纳税人中的银行、财务公司、信托公司、信用社； (三)国务院税务、财政主管部门确定的其他纳税人。 第四十四条 按次纳税的纳税人，销售额达到起征点的…,27228,True,False,
gov,faed94fc7571bb21f6f58a48e9c10f8e21aaaf1df475b6d16acc1acd2479d7e9,中华人民共和国国务院令第825号,行政执法监督条例,中华人民共和国国务院,EXCLUDE,—,,,,,,20316,True,False,
gov,e3c2e3e56f1537a7899dd9c7c7459ec8118dc294d9ff035bffc4f74cd729b3d5,中华人民共和国国务院令第225号,殡葬管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,31675,True,False,
gov,6f67c5698e0c266be9c582f7d305e83d70da7ff2342e0a5e34ced8bf3746ad07,中华人民共和国国务院令第823号,全民阅读促进条例,中华人民共和国国务院,EXCLUDE,—,,,,,,18347,True,False,
gov,47735e5a15f6dbc3e823d7816cc8afc8ad954ed3d3631aa6dac9e9c707f8544b,中华人民共和国国务院令第822号,森林草原防灭火条例,中华人民共和国国务院,BOUNDARY,低,人身保险,,,,[body]…治、抚恤优待；符合烈士评定条件的，按照国家有关规定评定为烈士。 参加森林草原火灾扑救的人员按照国家有关规定享受人身保险等相应保险待遇。 用人单位应当保证其职工在参加森林草原火灾扑救期间的工资待遇和福利不变。 第四十九条 参加森林…,38924,True,True,RFN-f916174f1bc87898;RFN-f916174f1bc87898
gov,8216c120f162d803da20665452951df9bb16c92507bab1a3c0f85eb5f764d1ed,中华人民共和国国务院令第821号,对外使用国徽图案的办法,中华人民共和国国务院,EXCLUDE,—,,,,,,7028,True,False,
gov,9d49f73634d1c5d599103391afd12232b695c371f2adf525a67f4319d4606b2c,中华人民共和国国务院令第820号,生态环境监测条例,中华人民共和国国务院,EXCLUDE,—,,,,,,26303,True,False,
gov,1c6bbad8facb91b59c040bbbe16bc485a2002aa966a05fa6f2fc7ec42763e2e8,中华人民共和国国务院令第819号,密云水库水源保护条例,中华人民共和国国务院,EXCLUDE,—,,,,,,15255,True,False,
gov,764013e140a95043729a795441508f8c4f70aa325ad240940c93fba4dd5a6ddb,中华人民共和国国务院令第335号,中华人民共和国国际海运条例,中华人民共和国国务院,BOUNDARY,低,,,分支机构,,[body]…管部门备案： (一)终止经营； (二)减少运营船舶； (三)变更提单、客票或者多式联运单证； (四)在境外设立分支机构或者子公司经营相应业务； (五)拥有的船舶在境外注册，悬挂外国旗。 国际客船、国际散装液体危险品船运输经营者增…,30637,True,False,
gov,d7b34dc11fdabe897a497003a5f61acecdf217d95eab10d24ede1ff3f8e449c0,中华人民共和国国务院令第818号,生物医学新技术临床研究和临床转化应用管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,35217,True,False,
gov,b7ba887fb5e71524134ebfc3660339566d05aee2ab4d9f0455be9fdc939dc22e,中华人民共和国中央军事委员会令第816号,军用土地管理条例,中华人民共和国中央军事委员会,EXCLUDE,—,,,,,,14568,True,False,
gov,46cbb905a98e6ef2699f67e1e964b063a4040ce0964d572046604b1fc5ffdd1c,中华人民共和国国务院令第815号,外国驻华外交领事机构中国籍雇员管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,4772,True,False,
gov,1293a56ebbb32cda791c2d9b44c70286df03a4e23e39b2ea91b9ee6276468006,中华人民共和国国务院令第637号,中华人民共和国外国人入境出境管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,26530,True,False,
gov,ee52c9afdffc08b7c0728c17ef970fc8482e00138b134c795d69a7b0f0f9799e,中华人民共和国国务院令第812号,住房租赁条例,中华人民共和国国务院,EXCLUDE,—,,,,,,23807,True,False,
gov,a05d29d47c0f47c7999d035d96d72dac11f398ea540846de867bcefa40f69b0f,中华人民共和国国务院令第813号,农村公路条例,中华人民共和国国务院,EXCLUDE,—,,,,,,12880,True,False,
gov,f751946e8bd99815d481825c50df2f25b1cd25b89b6b4a5a4ac6218b483455da,中华人民共和国国务院令第811号,蓄滞洪区运用补偿办法,中华人民共和国国务院,BOUNDARY,低,,,保险机构,,[body]…有关部门按照职责分工，负责蓄滞洪区运用补偿的有关工作。 第六条 国家鼓励、支持在蓄滞洪区推行洪水保险制度，鼓励保险机构根据蓄滞洪区运用后损失情况，开展洪水保险快速理赔和灾害应急预付赔款服务。 第七条 任何组织和个人不得骗取、侵吞…,13838,True,False,
gov,89d40ad4813173c80e7da4ed6a6e6267679aea0e1b126128ca2a17bdca53b24e,中华人民共和国国务院令第810号,互联网平台企业涉税信息报送规定,中华人民共和国国务院,EXCLUDE,—,,,,,,7026,True,False,
gov,501eaa6eea470e771fde83c0527cba1f1ff38ddeab1979a30e1d81e104756671,中华人民共和国国务院令第809号,政务数据共享条例,中华人民共和国国务院,EXCLUDE,—,,,,,,27016,True,False,
gov,762c00e119cb57c429619ffa2bd0a9f79a94eeeea75b68ff3bede8199c9d2213,中华人民共和国中央军事委员会令第808号,重要军工设施保护条例,中华人民共和国中央军事委员会,EXCLUDE,—,,,,,,31108,True,False,
gov,9c73cd516fd402e6bdd89545b7e97f71ec70f5e2c6142522674adf2890c5a9c2,中华人民共和国国务院令第213号,中华人民共和国植物新品种保护条例,中华人民共和国国务院,EXCLUDE,—,,,,,,29991,True,False,
gov,3149acaae4045a979fc97846756342175294f7c3579e2b5929e6dd44b8ebb801,中华人民共和国国务院令第697号,快递暂行条例,中华人民共和国国务院,BOUNDARY,低,,,保险公司|分支机构,,[body]…的业务范围和地域范围，向社会公布取得快递业务经营许可的企业名单，并及时更新。 第十九条 经营快递业务的企业及其分支机构可以根据业务需要开办快递末端网点，并应当自开办之日起20日内向所在地邮政管理部门备案。快递末端网点无需办理营业…,31118,True,False,
gov,b182f6cd020b2f5540410b8e26093a83c5db1f485950be13636386c9adab6c8c,中华人民共和国国务院令第387号,婚姻登记条例,中华人民共和国国务院,EXCLUDE,—,,,,,,16113,True,False,
gov,0d17fab3fd72b6394caed4b5b1d2e7c04fb131ba20e085e7bff9e9d4b6e96ce5,中华人民共和国中央军事委员会令第425号,中国人民解放军实施《中华人民共和国药品管理法》办法,中华人民共和国中央军事委员会,EXCLUDE,—,,,,,,24956,True,False,
gov,665e5e460301edb4600e9f7c21ff08dde9fefbb1a72904f29c3c702c390f93ad,中华人民共和国国务院令第803号,实施《中华人民共和国反外国制裁法》的规定,中华人民共和国国务院,EXCLUDE,—,,,,,,9613,True,False,
gov,df01e994f260bdd1943c60d6d21647c3eaada07163c24b97595be3655b4e227c,中华人民共和国国务院令第728号,保障中小企业款项支付条例,中华人民共和国国务院,EXCLUDE,中,,,,商业银行,[body]…业的交易，部分存在争议但不影响其他部分履行的，对于无争议部分应当履行及时付款义务。 第十六条 鼓励、引导、支持商业银行等金融机构增加对中小企业的信贷投放，降低中小企业综合融资成本，为中小企业以应收账款、知识产权、政府采购合同、存…,21388,True,False,
gov,3a250e36f729c5fbf4523671aa6a73cd3d2e170ca202cd7240f000681ad8f632,中华人民共和国国务院令第801号,国务院关于涉外知识产权纠纷处理的规定,中华人民共和国国务院,BOUNDARY,低,,,保险机构|分支机构,,[body]…纷调解、 仲裁工作的指导。  第八条 鼓励律师事务所、 知识产权服务机构等提高涉外知识产权服务能力， 通过设立分支机构、 联合经营等方式在国外设立执业机构， 为公民、 组织提供优质高效的涉外知识产权相关服务。  国务院司法行政部…,9555,True,False,
gov,14e4b4533f114fada7755e51680dfe7c963d6e75be0882399696c18b7b2fbca6,中华人民共和国国务院令第800号,古树名木保护条例,中华人民共和国国务院,EXCLUDE,—,,,,,,20416,True,False,
gov,4263f409e7eb797e8ed0c44fbed1c0125bbade4110db19936f6e09ed22f7c7a7,中华人民共和国国务院令第799号,公共安全视频图像信息系统管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,21645,True,False,
gov,ab930570d074bc9e0a341d9ce65095139a61b2422018e476eb09bde9fee22e8f,中华人民共和国国务院令第798号,国务院关于规范中介机构为公司公开发行股票提供服务的规定,中华人民共和国国务院,EXCLUDE,中,,,,证券公司,[meta]…开发行股票提供服务行为，提高上市公司质量，保护投资者合法权益，促进资本市场健康稳定发展，制定本规定。 第二条 证券公司、会计师事务所、律师事务所等机构(以下统称中介机构) 中华人民共和国国务院    国务院关于规范中介机构为公司…,7983,True,False,
gov,c5349d002bcd632c10258aaf09fad2f49521998a3c8482601c0ea5647ca4836d,中华人民共和国国务院令第276号,医疗器械监督管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,83176,True,False,
gov,204665f339869a628d00aa4ce5ddbe8e0c7c696a0d3c088a8458705b32b61d23,中华人民共和国国务院令第424号,病原微生物实验室生物安全管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,52246,True,False,
gov,d6abd0dfecd146d8ee90ae431c8800525c2337d1fc4465ccb4f650724ef3d80f,中华人民共和国国务院令第512号,中华人民共和国企业所得税法实施条例,中华人民共和国国务院,BOUNDARY,低,养老保险,,,,[body]…者受雇有关的其他支出。 第三十五条 企业依照国务院有关主管部门或者省级人民政府规定的范围和标准为职工缴纳的基本养老保险费、基本医疗保险费、失业保险费、工伤保险费、生育保险费等基本社会保险费和住房公积金，准予扣除。 企业为投资者或…,68976,True,False,
gov,0fefbdd4677d73e908ef7074d8ca4c97e7b65cb41a6e54a91d1dfb1dcd920132,,外国民用航空器飞行管理规则,,EXCLUDE,—,,,,,,96453,True,False,
gov,fba9a76d021b7e6910ff2ae712ead6216418ff305659f473c0f5941e2a26718c,中华人民共和国国务院令第29号,民用航空运输不定期飞行管理暂行规定,中华人民共和国国务院,EXCLUDE,—,,,,,,4730,True,False,
gov,14510f1036879eebf89807bb19334e0d32321a9515777ad99d952af4741edba7,中华人民共和国国务院令第442号,麻醉药品和精神药品管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,57442,True,False,
gov,41c9dddf1452d0c6b17cc5ec915db0cd19155fd0be16cd76a019d2a2280e5df9,中华人民共和国国务院令第343号,出版管理条例,中华人民共和国国务院,BOUNDARY,低,,,分支机构,,[body]…由其主办单位承担。 第十七条 出版单位变更名称、主办单位或者其主管机关、业务范围、资本结构，合并或者分立，设立分支机构，出版新的报纸、期刊，或者报纸、期刊变更名称的，应当依照本条例第十二条、第十三条的规定办理审批手续。出版单位属…,44104,True,False,
gov,4e403c37f94c2bae64bb53947d42f673fa4e4a80dd553af4e62f8246cf4a515c,中华人民共和国国务院令第341号,音像制品管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,32587,True,False,
gov,b1b4796243d7c7409bb3c6e0984466891eb22efca13c0735ad77a306d8f9de17,中华人民共和国国务院令第315号,印刷业管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,34810,True,False,
gov,897c3e010eacfbd30769d82097dddbccc39bb6ba69c74dffe1a9b7decf7dd2be,中华人民共和国国务院令第352号,使用有毒物品作业场所劳动保护条例,中华人民共和国国务院,EXCLUDE,—,,,,,,47984,True,False,
gov,5cd5e7818c514e97f563918bc2965a57af860dbf9d13e6e6e823178acdcef0f3,中华人民共和国国务院令第409号,地震监测管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,18552,True,False,
gov,b30706115fa28bfcc2febb6c0aa859440a59a0d8dbca6770c8085bbe90ac0482,中华人民共和国国务院令第363号,互联网上网服务营业场所管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,24583,True,False,
gov,49230405a8c57ce24617c41540de5e89dc53bd868f86bbb85b880939bc5f3744,中华人民共和国国务院令第228号,广播电视管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,24408,True,False,
gov,9c2ff1b5169ffe1e6b17b4eed9d2ee2503a753ddb859e40bc15355952130ae4f,中华人民共和国国务院令第25号,放射性药品管理办法,中华人民共和国国务院,EXCLUDE,—,,,,,,12959,True,False,
gov,7e6fa74160e58874b15ba4266a94c00a32b9c83c98a752b2eedefc06a1d4564d,,印铸刻字业暂行管理规则,,EXCLUDE,—,,,,,,6520,True,False,
gov,2879e905585eaf517f3a7807fb5ea2ad9e0a672eccd77ca647014e06badffb92,,公共场所卫生管理条例,,EXCLUDE,—,,,,,,7913,True,False,
gov,e5f4751d5ee7fc3612f65246c1036c017c9aaae921676707ee509052523bbd7a,中华人民共和国国务院令第292号,互联网信息服务管理办法,中华人民共和国国务院,EXCLUDE,—,,,,,,12843,True,False,
gov,4f42dc0593c99d77d95fb9cf849dbdc23b391364707a599769fcb8857d9de2b8,民政部令第15号,外国人在中华人民共和国收养子女登记办法,民政部,EXCLUDE,—,,,,,,12876,True,False,
gov,e017abcd736d466ecf3d9662604aef70f8c9ae557f143f180a0992e657707771,中华人民共和国国务院令第338号,外国律师事务所驻华代表机构管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,22422,True,False,
gov,322f86280d90d6c097cb224545650a0106a485b54f084ca9d639eb473bbb334d,,全国年节及纪念日放假办法,,EXCLUDE,—,,,,,,3693,True,False,
gov,1a7f49dff145680bb152eb862faf1e949c7ca241f291bad7426829ca9da4d78e,中华人民共和国国务院令第487号,国家自然科学基金条例,中华人民共和国国务院,EXCLUDE,—,,,,,,32340,True,False,
gov,09728fd7f874bf9f4d65839ae3cf72890be47f7783d7aea3959216400c1a5608,中华人民共和国国务院令第793号,城市公共交通条例,中华人民共和国国务院,EXCLUDE,—,,,,,,29328,True,False,
gov,d232c3130cabb4cd88c2c9c2eb900721833f442c463ddd4ab11e5ee66ab8854e,中华人民共和国国务院令第792号,中华人民共和国两用物项出口管制条例,中华人民共和国国务院,BOUNDARY,低,,,分支机构,,[body]…(三)属于列入本条例第二十八条规定的管控名单内的境外组织和个人在中华人民共和国境内设立的独资企业、代表机构、分支机构； (四)国务院商务主管部门规定的其他情形。 已经获得通用许可或者以登记填报信息方式获得出口凭证的出口经营者出…,37987,True,False,
gov,577102830aac3ab4f5209d2d15033116c11aef4e78d833a56880847afc79337b,中华人民共和国国务院令第601号,烈士褒扬条例,中华人民共和国国务院,EXCLUDE,—,,,,,,37093,True,False,
gov,a573caa6c8196a8c12268165d7a4d5cfac5005bf0871ca0199e489789b866d6d,中华人民共和国国务院令第790号,网络数据安全管理条例,中华人民共和国国务院,BOUNDARY,低,,,保险公司,,[body]…网络平台服务提供者、第三方产品和服务提供者、预装应用程序的智能终端等设备生产者应当依法承担相应责任。 国家鼓励保险公司开发网络数据损害赔偿责任险种，鼓励网络平台服务提供者、预装应用程序的智能终端等设备生产者投保。 第四十一条 提…,41860,True,True,RFN-f061897706577104;RFN-f061897706577104
gov,70fbdc57964cc8ab95448234533bcac5562a1a277494aae97fb990914b5f40fe,中华人民共和国国务院令第789号,法规规章备案审查条例,中华人民共和国国务院,EXCLUDE,—,,,,,,14088,True,False,
gov,f78b6304231498c7af894e9b3622c0b278980d01fa73d8c2dd0784bc711226f1,中华人民共和国中央军事委员会令第413号,军人抚恤优待条例,中华人民共和国中央军事委员会,EXCLUDE,—,,,,,,48221,True,False,
gov,d381b3eb46543343d68abf6ef9c5fef284f9681b21e365eadbf5cd36cf872c2f,中华人民共和国中央军事委员会令第787号,退役军人安置条例,中华人民共和国中央军事委员会,BOUNDARY,低,养老保险,,,,[body]…限依法合并计算。 第八十二条 安排工作的退役军士和义务兵在国家规定的待安排工作期间，按照规定参加安置地职工基本养老保险并享受相应待遇，所需费用由安置地人民政府同级财政资金安排。 第八十三条 安置到机关、群团组织、企业事业单位的退…,47569,True,False,
gov,0377ebc93f259355ae884a399e7e4b8f3582247286090081fb9b4350c845e3de,中华人民共和国国务院令第646号,中华人民共和国保守国家秘密法实施条例,中华人民共和国国务院,EXCLUDE,—,,,,,,49607,True,False,
gov,01ab012c5d72c03ed41550479658aeae19f58ec6573ebaacf59cb925fc3ce40c,中华人民共和国国务院令第784号,国务院关于实施《中华人民共和国公司法》注册资本登记管理制度的规定,中华人民共和国国务院,EXCLUDE,—,,,,,,5753,True,False,
gov,40a7016914ce79490b9e9238b5943efd5c5c97f1fd9ae442bdae5eec2f6150b6,中华人民共和国国务院令第785号,稀土管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,15486,True,False,
gov,7bd93224536b603f8669027fe06bbd168d9860c1999f135120e9db2af08c2424,中华人民共和国国务院令第783号,公平竞争审查条例,中华人民共和国国务院,BOUNDARY,低,,,分支机构,,[body]…，或者阻碍本地经营者迁出，商品、要素输出； (二)排斥、限制、强制或者变相强制外地经营者在本地投资经营或者设立分支机构； (三)排斥、限制或者变相限制外地经营者参加本地政府采购、招标投标； (四)对外地或者进口商品、要素设置歧视…,11770,True,False,
gov,dc106b27a0f91e14ecdae54cfd493913fb9807bb1ab4a1dfb594a7542c7044d5,中华人民共和国国务院令第265号,国家科学技术奖励条例,中华人民共和国国务院,EXCLUDE,—,,,,,,19111,True,False,
gov,05d157090175e941b41f7c1e257c3b710ee33c81c9847b082a64c671f4ec7caa,中华人民共和国国务院令第781号,国有企业管理人员处分条例,中华人民共和国国务院,BOUNDARY,低,,,分支机构,,[body]…二)经党组织或者国家机关，国有独资、全资公司、企业，事业单位提名、推荐、任命、批准等，在国有控股、参股公司及其分支机构中履行组织、领导、管理、监督等职责的人员； (三)经国家出资企业中负有管理、监督国有资产职责的组织批准或者研究…,40886,True,False,
gov,159d00dece2708c3d7e8d798e9d748491055e57007983c0cb6bb2ebd62749779,中华人民共和国国务院令第780号,国际邮轮在中华人民共和国港口靠港补给的规定,中华人民共和国国务院,EXCLUDE,—,,,,,,8902,True,False,
gov,34c49a17962982a9d47b3a66fe3e9097ca08845a807e3995b909d47b485a2504,中华人民共和国国务院令第779号,生态保护补偿条例,中华人民共和国国务院,EXCLUDE,—,,,,,,16557,True,False,
gov,cd3b8e2027cb18f95cf039ef8b173e4dafd23c14a352bebff37de11311573ecf,中华人民共和国国务院令第778号,中华人民共和国消费者权益保护法实施条例,中华人民共和国国务院,EXCLUDE,—,,,,,,29181,True,True,RFN-c376b40dc174f080;RFN-c376b40dc174f080
gov,58891975963e9312fc5ddf60837145d9512617361c6f1c039036969e262d17aa,中华人民共和国国务院令第151号,教学成果奖励条例,中华人民共和国国务院,EXCLUDE,—,,,,,,5264,True,False,
gov,41298dcb9b62e7482c24c2f6f6a9e3020903ecbe58b139ae727e56748d7ce7e2,中华人民共和国国务院令第195号,中华人民共和国计算机信息网络国际联网管理暂行规定,中华人民共和国国务院,EXCLUDE,—,,,,,,7734,True,False,
gov,445f2002c99a0a16521bf35d914a4cb6ab8b6fe62ae5545a1162d8d2a0bdf165,中华人民共和国国务院令第717号,中华人民共和国人类遗传资源管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,27932,True,False,
gov,f4ebc85a9f9a3de63140d922d535d8532f37338e0ba57a3509166aa8e7b39cfe,中华人民共和国国务院令第584号,外国企业常驻代表机构登记管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,20101,True,False,
gov,acf6b17543d7c8724b13f311850c01300abb81c70160d79b4eb61135f70b56d6,中华人民共和国国务院令第656号,不动产登记暂行条例,中华人民共和国国务院,EXCLUDE,—,,,,,,17444,True,False,
gov,2cc069f03f7dfa5f40be63d4987c6d615d76de0c74609f0ea7f1072934dd9253,中华人民共和国国务院令第654号,企业信息公示暂行条例,中华人民共和国国务院,EXCLUDE,—,,,,,,14454,True,False,
gov,1b3f50414413fbf232419b04846633cc6f1809e284980c8aea47cfe9ee90b76e,中华人民共和国国务院令第332号,中华人民共和国货物进出口管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,28961,True,False,
gov,3dc56593abac3bf2a19c353c9d9e1b733c12ce3c394231833051229edca7c17f,中华人民共和国国务院令第776号,节约用水条例,中华人民共和国国务院,EXCLUDE,—,,,,,,25195,True,False,
gov,f4a2f923559d081d81515c6afe60c69af25ee4888d54574eee3d6470bf8d8d9e,中华人民共和国国务院令第775号,碳排放权交易管理暂行条例,中华人民共和国国务院,EXCLUDE,中,,,,银行业,[body]…业务规则，建立风险防控和信息披露制度。 国务院生态环境主管部门会同国务院市场监督管理部门、中国人民银行和国务院银行业监督管理机构，对全国碳排放权注册登记机构和全国碳排放权交易机构进行监督管理，并加强信息共享和执法协作配合。 碳…,23396,True,False,
gov,1215dfc593dff517bfd742e53085aee28de2882ef97b6654b8008de4c3018230,中华人民共和国国务院令第774号,煤矿安全生产条例,中华人民共和国国务院,EXCLUDE,—,,,,,,51053,True,False,
gov,09f78f3eb884d5d0af0c25ea7dc9cb8f1828a7fdc8b6f4e9a42898094ac43980,中华人民共和国国务院令第529号,国务院关于经营者集中申报标准的规定,中华人民共和国国务院,EXCLUDE,—,,,,,,3195,True,False,
gov,9b3d24a79b90cef7f3e1b59f6dea230840d7f15d13eee1be7d929b51247ffbe1,中华人民共和国国务院令第215号,中国人民银行货币政策委员会条例,中华人民共和国国务院,EXCLUDE,中,,,,银行业,[body]…2人； 国家金融监督管理总局局长； 中国证券监督管理委员会主席； 国家统计局局长； 国家外汇管理局局长； 中国银行业协会会长； 专家委员3人。 货币政策委员会组成单位和人员的调整，由国务院决定。 第七条 货币政策委员会委员包括…,8593,True,False,
